Company Name,Ticker,Market Cap (mil),Zacks Rank,Div. Yield %,% Change Q1 Est. (4 weeks),Beta,Sector
"Ardagh Metal Packaging","AMBP","2211.49","2","10.81","120",".55","Industrial Products"
"AngloGold Ashanti PLC","AU","33620.36","1","3.99","1.81",".48","Basic Materials"
"Banco De Chile","BCH","18627.55","2","4.26","2.22",".28","Finance"
"Community Financial System, Inc.","CBU","2826.34","2","3.5","1.36",".79","Finance"
"CNA Financial","CNA","12515.62","2","3.98","7.58",".5","Finance"
"Canadian Natural Resources Limited","CNQ","70933.49","1","5.02","7.93",".96","Oils-Energy"
"Digital Realty Trust","DLR","54829.71","2","3.06","2.06",".96","Finance"
"DANSKE BANK","DNKEY","37173.98","2","6.79","4.04",".72","Finance"
"First Hawaiian","FHB","2930.92","1","4.39","7.92",".91","Finance"
"Federated Hermes","FHI","3750.17","1","2.81","3.65",".83","Finance"
"F.N.B.","FNB","5522.47","2","3.11","1",".98","Finance"
"Fulton Financial","FULT","3115.24","2","4.17","5.26",".88","Finance"
"HSBC","HSBC","240128.72","2","2.85","11.54",".64","Finance"
"IDACORP","IDA","6868.61","2","2.77","9.93",".59","Utilities"
"Coca Cola Femsa","KOF","147982.64","1","4.09","3.72",".61","Consumer Staples"
"NBT Bancorp","NBTB","2080.57","2","3.72","1.38",".55","Finance"
"The Bank of N.T. Butterfield & Son Limited","NTB","2133.58","1","4.46","5.04",".68","Finance"
"OMV","OMVKY","18184.58","1","4.18","5.71",".22","Oils-Energy"
"Plains Group","PAGP","3532.3","2","8.52","2.08",".7","Oils-Energy"
"PepsiCo","PEP","203419.2","2","3.82","1.43",".45","Consumer Staples"
"Park National","PRK","2421.87","2","2.84","1.22",".76","Finance"
"Radian Group","RDN","4671.66","1","2.96","3.33",".81","Finance"
"Reynolds Consumer Products","REYN","5047.91","2","3.83","6.36",".58","Consumer Discretionary"
"Swedbank","SWDBY","33939.6","1","6.73","15.52",".7","Finance"
"Telefonica","TEF","23531.17","2","6.02","40",".48","Utilities"
"TIM","TIMB","11334.21","1","4.06","3.3",".62","Computer and Technology"
"United Bankshares","UBSI","4965.13","2","4.19","3.21",".83","Finance"
"USA Compression Partners","USAC","2874.52","1","8.96","8.33",".36","Oils-Energy"
"VALE","VALE","55239.72","1","6","1.09",".82","Basic Materials"
