Company Name,Ticker,Market Cap (mil),Zacks Rank,Div. Yield %,% Change Q1 Est. (4 weeks),Beta,Sector
"Ardagh Metal Packaging","AMBP","2151.72","2","11.11","120",".55","Industrial Products"
"AngloGold Ashanti PLC","AU","33322.35","1","4.03","1.81",".48","Basic Materials"
"Banco De Chile","BCH","18248.74","2","4.34","2.22",".28","Finance"
"Community Financial System, Inc.","CBU","2974.32","2","3.33","1.36",".79","Finance"
"CNA Financial","CNA","12534.57","2","3.97","7.58",".5","Finance"
"Canadian Natural Resources Limited","CNQ","69933.55","1","5.1","7.93",".96","Oils-Energy"
"Digital Realty Trust","DLR","54335.07","2","3.09","2.06",".96","Finance"
"DANSKE BANK","DNKEY","38426.48","2","6.57","4.04",".72","Finance"
"First Hawaiian","FHB","3000.2","2","4.29","7.92",".91","Finance"
"Federated Hermes","FHI","3812.2","1","2.77","3.96",".83","Finance"
"F.N.B.","FNB","5683.63","2","3.02","3.08",".98","Finance"
"Fulton Financial","FULT","3210.96","2","4.05","5.26",".88","Finance"
"HSBC","HSBC","250377.08","2","2.73","26.09",".64","Finance"
"IDACORP","IDA","6933.46","2","2.74","9.93",".59","Utilities"
"Coca Cola Femsa","KOF","147848.19","2","4.09","3.72",".61","Consumer Staples"
"NBT Bancorp","NBTB","2141.26","2","3.62","1.38",".55","Finance"
"The Bank of N.T. Butterfield & Son Limited","NTB","2160.2","1","4.4","5.04",".68","Finance"
"Omnicom Group","OMC","13939.2","2","3.88","1.97",".94","Business Services"
"PepsiCo","PEP","199426.58","2","3.9","1.43",".45","Consumer Staples"
"Park National","PRK","2509.66","2","2.74","1.22",".76","Finance"
"Radian Group","RDN","4778.7","1","2.89","3.33",".81","Finance"
"Reynolds Consumer Products","REYN","5096.29","2","3.8","6.36",".58","Consumer Discretionary"
"Telefonica","TEF","24324.99","2","5.82","40",".48","Utilities"
"United Bankshares","UBSI","5115.38","2","4.06","3.21",".83","Finance"
"USA Compression Partners","USAC","2923.59","1","8.81","8.33",".36","Oils-Energy"
"Zions Bancorporation","ZION","7532.65","2","3.53","7.4",".96","Finance"
