Company Name,Ticker,Zacks Rank,Last Close,Market Cap (mil),This Yr`s Est.d Growth (F(1)/F(0)),% Change Q1 Est. (4 weeks),Zacks Industry Rank,Avg Volume
"Ares Commercial Real Estate","ACRE","2","4.78","263.03","48.17","100","89","450562"
"Altimmune","ALT","2","4.47","466.41","25.97","21.6","67","3101238"
"American Resources","AREC","2","2.55","258.55","30.77","8.7","93","10236950"
"Aurinia Pharmaceuticals","AUPH","2","15.14","1996.07","1837.5","29.17","67","2175775"
"Aveanna Healthcare","AVAH","2","8.3","1733.96","795.83","48.49","42","1330042"
"Biohaven Ltd.","BHVN","2","9.63","1019.39","20.92","7.88","85","6190409"
"Ballard Power Systems","BLDP","2","2.68","805.98","41.75","15.32","65","6382389"
"Cimpress","CMPR","2","66.05","1629.57","504.02","3.7","12","215180"
"DigitalBridge Group","DBRG","2","9.2","1680.6","25.86","3.03","89","3631540"
"Digi International","DGII","2","38.21","1418.44","13.18","5.77","42","202380"
"DAQO New Energy","DQ","2","28.58","1916.48","53.35","94.44","42","1554467"
"Guardian Pharmacy Services, Inc.","GRDN","2","27.64","1750.18","1750","8","67","377230"
"Hanmi Financial","HAFC","2","26.46","792.62","23.09","5.47","24","163874"
"Horizon Bancorp IN","HBNC","2","15.72","805.14","42.55","8.76","46","306748"
"Healthcare Services Group","HCSG","2","17.32","1220.29","69.81","4.55","54","656728"
"Heritage Financial","HFWA","2","22.32","757.91","17.12","2.4","73","189284"
"Horace Mann Educators","HMN","2","45.94","1869.07","46.23","2.87","30","266298"
"Heritage Commerce Corp","HTBK","2","10.41","637.96","31.06","8.98","24","399691"
"ImmunityBio","IBRX","2","2.02","1989.63","45.21","23.81","85","9107310"
"Jamf","JAMF","2","12.87","1714.57","39.34","2.27","72","5440707"
"Jade Biosciences, Inc.","JBIO","2","11.48","528.13","96.39","17.12","85","225155"
"NB Bancorp, Inc.","NBBK","2","18.75","746.75","48.25","11.36","46","387730"
"NGL Energy Partners","NGL","2","9.7","1219.51","204","28.57","94","543524"
"OI Glass","OI","2","12.71","1952.19","96.6","86.21","12","1801100"
"Orion Group","ORN","2","8.55","341.15","23.33","28.57","24","362974"
"Palisade Bio","PALI","2","2.34","348.67","93.67","96.88","85","4479408"
"Pagaya Technologies Ltd.","PGY","2","20.79","1592.69","273.49","7.14","77","4600914"
"The Real Brokerage","REAX","2","3.46","732.83","67.86","16.67","72","1625873"
"Redwood Trust","RWT","2","5.01","634.68","51.92","17.65","89","1214440"
"Rezolute","RZLT","2","9.65","894.82","16.33","27.27","85","1412552"
"Sana Biotechnology","SANA","2","3.23","860.36","26.75","26.96","85","3979264"
"Sight Sciences","SGHT","2","6.64","351.07","12.12","28.77","73","206635"
"Theravance Biopharma","TBPH","2","17.9","907.04","171.88","70.37","67","503914"
"Telos","TLS","2","5.47","403.44","116.94","68.75","92","1069446"
"Tango Therapeutics","TNGX","2","8.9","1197.89","24.93","13.74","85","3268431"
"TriMas","TRS","2","31.77","1291.31","26.06","3.36","12","857873"
"Weave Communications","WEAV","2","5.78","450.99","66.67","42.86","67","1539401"
"WisdomTree, Inc.","WT","2","10.73","1509.87","25","1.87","77","3089462"
"X4 Pharmaceuticals","XFOR","2","3.7","323.52","49.07","34.47","85","1805183"
