Company Name,Ticker,Market Cap (mil),Zacks Rank,Div. Yield %,% Change Q1 Est. (4 weeks),Beta,Sector
"Ardagh Metal Packaging","AMBP","2121.83","2","11.27","65",".55","Industrial Products"
"AngloGold Ashanti PLC","AU","35731.6","1","3.76","1.81",".48","Basic Materials"
"Banco De Chile","BCH","18869.99","2","4.2","2.22",".28","Finance"
"Community Financial System, Inc.","CBU","3008.02","2","3.29","1.36",".79","Finance"
"CNA Financial","CNA","12442.54","2","4","7.58",".5","Finance"
"Canadian Natural Resources Limited","CNQ","67579.51","1","5.27","9.26",".96","Oils-Energy"
"Dominion Energy","D","52409.98","2","4.35","4.19",".63","Utilities"
"Digital Realty Trust","DLR","56299.9","2","2.98","2.06",".96","Finance"
"First Hawaiian","FHB","3065.77","1","4.2","7.92",".91","Finance"
"Federated Hermes","FHI","3906.04","1","2.7","3.96",".83","Finance"
"First Horizon","FHN","10734.19","2","2.75","3.05",".7","Finance"
"F.N.B.","FNB","5805.39","2","2.96","3.08",".98","Finance"
"Fulton Financial","FULT","3207.35","2","4.05","5.26",".88","Finance"
"HSBC","HSBC","253586.16","2","2.69","26.09",".64","Finance"
"IDACORP","IDA","7060.47","2","2.69","9.93",".59","Utilities"
"Coca Cola Femsa","KOF","150671.7","2","4.01","3.72",".61","Consumer Staples"
"Lamb Weston","LW","8146.55","1","2.53","3.36",".51","Consumer Staples"
"NBT Bancorp","NBTB","2165.33","2","3.58","1.38",".55","Finance"
"The Bank of N.T. Butterfield & Son Limited","NTB","2190.14","1","4.34","5.04",".68","Finance"
"Omnicom Group","OMC","14298.15","2","3.78","1.97",".94","Business Services"
"PepsiCo","PEP","197430.25","2","3.94","1.43",".45","Consumer Staples"
"Portland General Electric","POR","5682.94","2","4.16","5.22",".67","Utilities"
"Park National","PRK","2505.31","2","2.75","1.22",".76","Finance"
"Radian Group","RDN","4796.31","1","2.88","3.33",".81","Finance"
"Reynolds Consumer Products","REYN","5201.45","1","3.72","6.36",".58","Consumer Discretionary"
"Telefonica","TEF","23474.47","2","6.03","40",".48","Utilities"
"United Bankshares","UBSI","5143.46","2","4.04","3.21",".83","Finance"
"USA Compression Partners","USAC","2837.72","1","9.08","8.33",".36","Oils-Energy"
"Zions Bancorporation","ZION","7743.77","2","3.43","7.4",".96","Finance"
