Company Name,Ticker,Zacks Rank,Last Close,Market Cap (mil),This Yr`s Est.d Growth (F(1)/F(0)),% Change Q1 Est. (4 weeks),Zacks Industry Rank,Avg Volume
"Altimmune","ALT","2","4.06","423.63","25.97","21.6","83","2889885"
"DigitalBridge Group","DBRG","2","9.76","1782.9","25.86","3.03","87","3772160"
"Healthcare Services Group","HCSG","2","17.335","1221.35","69.81","4.55","52","797484"
"Horace Mann Educators","HMN","2","45.39","1846.69","40.09","4.1","42","248879"
"ImmunityBio","IBRX","2","2","1969.93","45.21","23.81","87","8831641"
"Integra Resources","ITRG","2","3.06","517.4","281.18","10","76","2439382"
"Lexeo Therapeutics, Inc.","LXEO","2","8.99","656.16","34.79","29.08","83","1578518"
"MBX Biosciences, Inc.","MBX","2","24.07","1080.8","54.26","3.16","87","906929"
"NB Bancorp, Inc.","NBBK","2","19.02","757.5","45.61","4.55","56","266437"
"NGL Energy Partners","NGL","2","9.73","1223.28","204","28.57","89","461083"
"Oruka Therapeutics, Inc.","ORKA","2","26.38","1095.86","38.63","3.08","83","389705"
"The Pennant Group","PNTG","2","24.89","861.04","22.34","3.23","65","347211"
"PROKIDNEY CP","PROK","2","2.28","670.96","26.34","5","83","1643470"
"Rapport Therapeutics, Inc.","RAPP","2","24.67","1175.8","26.32","13.72","87","383234"
"The Real Brokerage","REAX","2","3.86","817.55","67.86","16.67","65","1722527"
"Redwood Trust","RWT","2","5.2","658.75","51.92","17.65","87","1181389"
"Rezolute","RZLT","2","9.94","921.71","16.33","27.27","87","1579664"
"Sana Biotechnology","SANA","2","3.66","974.9","25.59","17.68","87","4708091"
"Sight Sciences","SGHT","2","7.05","372.75","12.12","28.77","62","313501"
"Telos","TLS","2","6.24","460.23","95.97","12.5","72","1054520"
"Tango Therapeutics","TNGX","2","7.72","1039.07","23.67","10.44","87","4469014"
"Weave Communications","WEAV","2","6.12","477.52","66.67","42.86","62","1339485"
"WisdomTree, Inc.","WT","2","11.5","1618.22","25","6.64","76","2955808"
"X4 Pharmaceuticals","XFOR","2","3.73","326.14","49.07","34.47","87","1731221"
