Company Name,Ticker,Zacks Rank,Last Close,Market Cap (mil),This Yr`s Est.d Growth (F(1)/F(0)),% Change Q1 Est. (4 weeks),Zacks Industry Rank,Avg Volume
"Abacus Life, Inc.","ABL","2","6.55","633.81","24.75","4.24","38","895256"
"Altimmune","ALT","2","4.26","444.5","24.63","19.14","80","2856326"
"Aurinia Pharmaceuticals","AUPH","2","14.89","1963.11","1837.5","29.17","80","1784206"
"DigitalBridge Group","DBRG","2","10.94","1998.46","25.86","3.03","74","4655692"
"Diversified Healthcare Trust","DHC","2","4.5","1089.66","312.5","175","68","761916"
"Fastly","FSLY","2","11.93","1782.34","88.33","104","61","3853296"
"Horizon Bancorp IN","HBNC","2","16.06","818.6","42.55","8.76","41","419098"
"Healthcare Services Group","HCSG","2","17.59","1239.31","69.81","4.55","83","812087"
"Holley","HLLY","2","3.59","432.59","16.25","3.13","80","1579026"
"Horace Mann Educators","HMN","2","45.62","1856.05","40.09","4.1","41","243596"
"Integra Resources","ITRG","2","3.11","525.85","275.29","10","53","2336005"
"Kimball Electronics","KE","2","28.2","686.34","11.9","1.85","41","184454"
"Lexeo Therapeutics, Inc.","LXEO","2","8.52","460.09","34.79","29.08","80","1535393"
"MBX Biosciences, Inc.","MBX","2","24.49","822.71","54.26","8.41","78","990214"
"NGL Energy Partners","NGL","2","9.93","1248.43","204","28.57","22","411467"
"Oruka Therapeutics, Inc.","ORKA","2","27.96","1161.49","38.63","3.08","80","443104"
"Personalis","PSNL","2","8.63","766.38","31.75","5.08","29","1673644"
"Rapport Therapeutics, Inc.","RAPP","2","24.915","909.35","24.4","4.42","78","394544"
"The Real Brokerage","REAX","2","3.75","794.25","67.86","16.67","72","1655771"
"Redwood Trust","RWT","2","5.24","663.82","51.92","17.65","74","1140740"
"Sight Sciences","SGHT","2","6.52","344.72","12.12","28.77","60","238270"
"Tango Therapeutics","TNGX","2","7.93","1067.33","23.67","10.44","78","4314317"
"TriMas","TRS","2","31.58","1283.59","24.85","2.52","55","538152"
"Weave Communications","WEAV","2","6.39","498.58","66.67","42.86","61","1270641"
"WisdomTree, Inc.","WT","2","11.72","1649.18","25","6.64","58","3071419"
