Company Name,Ticker,Market Cap (mil),Zacks Rank,Div. Yield %,% Change Q1 Est. (4 weeks),Beta,Sector
"Algonquin Power & Utilities","AQN","4393.84","2","4.55","6.06",".75","Utilities"
"Banco De Chile","BCH","18167.92","1","4.36","2.22",".28","Finance"
"Community Financial System, Inc.","CBU","2974.8","2","3.34","1.36",".79","Finance"
"CNA Financial","CNA","11963.46","2","4.16","7.58",".5","Finance"
"Canadian Natural Resources Limited","CNQ","65665.54","2","5.43","8.02",".96","Oils-Energy"
"Dominion Energy","D","51667","2","4.41","4.19",".63","Utilities"
"HF Sinclair","DINO","9865.14","2","3.73","82.03",".99","Oils-Energy"
"Digital Realty Trust","DLR","57828.49","2","2.9","2.06",".96","Finance"
"Federated Hermes","FHI","3866.37","1","2.73","6.19",".83","Finance"
"First Horizon","FHN","10840.41","2","2.81","3.05",".7","Finance"
"F.N.B.","FNB","5663.69","2","3.04","3.08",".98","Finance"
"Fulton Financial","FULT","3163.15","2","4.15","1.05",".88","Finance"
"HSBC","HSBC","248479.25","1","2.75","26.09",".64","Finance"
"IDACORP","IDA","6916.71","2","2.75","9.93",".59","Utilities"
"NBT Bancorp","NBTB","2140.3","2","3.62","1.38",".55","Finance"
"The Bank of N.T. Butterfield & Son Limited","NTB","2175.4","1","4.37","5.04",".68","Finance"
"Omnicom Group","OMC","14085.87","2","3.84","1.44",".94","Business Services"
"PepsiCo","PEP","193588.03","2","4.02","4.05",".45","Consumer Staples"
"Portland General Electric","POR","5373.6","2","4.4","5.22",".67","Utilities"
"Park National","PRK","2477.82","2","2.78","1.22",".76","Finance"
"Reynolds Consumer Products","REYN","5226.69","1","3.7","6.36",".58","Consumer Discretionary"
"The Toronto Dominion Bank","TD","136445.59","2","3.75","1.91",".79","Finance"
"Telefonica","TEF","23474.47","2","6.03","40",".48","Utilities"
"TIM","TIMB","11043.71","1","4.17","7.06",".62","Computer and Technology"
"United Bankshares","UBSI","5126.21","2","4.09","3.21",".83","Finance"
"USA Compression Partners","USAC","2960.4","1","8.7","11.43",".36","Oils-Energy"
"Viatris","VTRS","11671.66","2","4.75","3.77",".9","Medical"
