Company Name,Ticker,Market Cap (mil),Zacks Rank,Div. Yield %,% Change Q1 Est. (4 weeks),Beta,Sector
"Ardagh Metal Packaging","AMBP","2020.22","2","11.83","65",".55","Industrial Products"
"Algonquin Power & Utilities","AQN","4270.94","2","4.68","6.06",".75","Utilities"
"Banco De Chile","BCH","18213.38","1","4.35","2.22",".28","Finance"
"Community Financial System, Inc.","CBU","2957.35","2","3.36","1.36",".79","Finance"
"Canadian Natural Resources Limited","CNQ","66666.47","2","5.35","8.02",".96","Oils-Energy"
"Dominion Energy","D","49950.46","2","4.56","4.19",".63","Utilities"
"HF Sinclair","DINO","9821","2","3.75","43.64",".99","Oils-Energy"
"Digital Realty Trust","DLR","59068.53","2","2.84","1.74",".96","Finance"
"Federated Hermes","FHI","3805.1","1","2.77","4.92",".83","Finance"
"First Horizon","FHN","10896.26","2","2.8","3.05",".7","Finance"
"F.N.B.","FNB","5649.33","2","3.05","2.56",".98","Finance"
"Fulton Financial","FULT","3194.11","2","4.1","1.05",".88","Finance"
"HSBC","HSBC","243130.78","1","2.81","26.09",".64","Finance"
"IDACORP","IDA","7005.34","2","2.65","9.93",".59","Utilities"
"NBT Bancorp","NBTB","2138.2","2","3.63","1.38",".55","Finance"
"The Bank of N.T. Butterfield & Son Limited","NTB","2219.13","1","4.28","12.31",".68","Finance"
"ONE Gas","OGS","4889.87","2","3.29","1.21",".85","Utilities"
"Omnicom Group","OMC","14093.59","2","3.83","1.44",".94","Business Services"
"PepsiCo","PEP","196350.06","2","3.96","4.05",".45","Consumer Staples"
"Portland General Electric","POR","5282.48","2","4.47","5.22",".67","Utilities"
"Park National","PRK","2471.61","1","2.78","1.22",".76","Finance"
"Reynolds Consumer Products","REYN","5155.18","2","3.75","6.36",".58","Consumer Discretionary"
"The Toronto Dominion Bank","TD","138990.27","2","3.73","1.91",".79","Finance"
"Telefonica","TEF","27727.09","2","5.11","40",".48","Utilities"
"TIM","TIMB","10942.04","1","4.2","7.06",".62","Computer and Technology"
"United Bankshares","UBSI","5100.72","2","4.11","3.21",".83","Finance"
"United Community Banks","UCB","3564.06","2","3.41","1.06",".91","Finance"
"USA Compression Partners","USAC","2732.17","2","9.43","2.86",".36","Oils-Energy"
"Viatris","VTRS","12156.54","2","4.56","3.77",".9","Medical"
