Company Name,Ticker,Market Cap (mil),Zacks Rank,Div. Yield %,% Change Q1 Est. (4 weeks),Beta,Sector
"Ardagh Metal Packaging","AMBP","2008.27","2","11.9","65",".55","Industrial Products"
"Algonquin Power & Utilities","AQN","4240.21","2","4.71","6.06",".75","Utilities"
"Banco De Chile","BCH","17667.89","1","4.49","2.22",".28","Finance"
"Community Financial System, Inc.","CBU","2943.61","2","3.38","1.36",".79","Finance"
"Canadian Natural Resources Limited","CNQ","65415.3","2","5.45","8.02",".96","Oils-Energy"
"Dominion Energy","D","50659.28","2","4.5","4.19",".63","Utilities"
"HF Sinclair","DINO","9833.87","2","3.74","58.9",".99","Oils-Energy"
"Digital Realty Trust","DLR","57801.01","2","2.9","1.74",".96","Finance"
"Federated Hermes","FHI","3844.65","1","2.74","6.78",".83","Finance"
"First Horizon","FHN","10774.4","2","2.83","3.05",".7","Finance"
"F.N.B.","FNB","5631.37","2","3.06","2.56",".98","Finance"
"Fulton Financial","FULT","3155.87","2","4.15","1.05",".88","Finance"
"HSBC","HSBC","241025.89","1","2.83","26.09",".64","Finance"
"IDACORP","IDA","7002.64","2","2.65","9.93",".59","Utilities"
"NBT Bancorp","NBTB","2134.01","2","3.63","1.38",".55","Finance"
"The Bank of N.T. Butterfield & Son Limited","NTB","2192.51","1","4.34","12.31",".68","Finance"
"ONE Gas","OGS","4912.07","2","3.27","1.21",".85","Utilities"
"Omnicom Group","OMC","14192.01","2","3.81","1.44",".94","Business Services"
"PepsiCo","PEP","195392.91","2","3.98","4.05",".45","Consumer Staples"
"Portland General Electric","POR","5330.85","2","4.43","5.22",".67","Utilities"
"Park National","PRK","2439.55","1","2.82","1.22",".76","Finance"
"Reynolds Consumer Products","REYN","5169.9","1","3.74","6.36",".58","Consumer Discretionary"
"The Toronto Dominion Bank","TD","136632.2","2","3.8","1.91",".79","Finance"
"Telefonica","TEF","23984.78","2","5.91","40",".48","Utilities"
"TIM","TIMB","11009.82","1","4.18","7.06",".62","Computer and Technology"
"United Bankshares","UBSI","5099.3","2","4.11","3.21",".83","Finance"
"United Community Banks","UCB","3543.41","2","3.43","1.06",".91","Finance"
"USA Compression Partners","USAC","2697.82","2","9.55","2.86",".36","Oils-Energy"
"Viatris","VTRS","12110.36","2","4.58","3.77",".9","Medical"
