Company Name,Ticker,Zacks Rank,Last Close,Market Cap (mil),This Yr`s Est.d Growth (F(1)/F(0)),% Change Q1 Est. (4 weeks),Zacks Industry Rank,Avg Volume
"Byrna Technologies","BYRN","2","17.36","394.52","27.42","8","81","589362"
"DigitalBridge Group","DBRG","2","10.94","1992.43","25.86","3.03","84","4673815"
"Diversified Healthcare Trust","DHC","2","4.45","1077.55","312.5","175","77","723040"
"Hanmi Financial","HAFC","2","26.41","795.63","23.09","5.47","23","187853"
"Horizon Bancorp IN","HBNC","2","15.86","808.41","42.55","8.76","55","429027"
"Heritage Financial","HFWA","2","22.06","749.01","15.14","2.4","93","184232"
"Horace Mann Educators","HMN","2","45.29","1843.11","40.09","2.42","58","231655"
"Integra Resources","ITRG","2","2.66","449.76","275.29","22.22","76","2048486"
"MBX Biosciences, Inc.","MBX","2","24.74","831.11","53.33","9.4","90","959150"
"Ouster","OUST","2","24.13","1395.18","26.2","4.88","40","3211598"
"The Real Brokerage","REAX","2","3.63","768.83","67.86","16.67","81","1683192"
"Redwood Trust","RWT","2","5.12","661.62","51.92","17.65","84","1096617"
"Tango Therapeutics","TNGX","2","8.01","1078.1","23.67","10.44","90","4355987"
"TriMas","TRS","2","31.79","1292.13","24.85","2.52","68","510401"
"10x Genomics","TXG","2","13","1618.37","65.68","1.46","69","2626218"
"Weave Communications","WEAV","2","6.66","513.06","66.67","42.86","73","1289452"
"WisdomTree, Inc.","WT","2","11.66","1715.27","25","8.33","71","3096580"
