Company Name,Ticker,Market Cap (mil),Zacks Rank,Div. Yield %,% Change Q1 Est. (4 weeks),Beta,Sector
"Ardagh Metal Packaging","AMBP","2151.72","2","11.11","65",".55","Industrial Products"
"AngloGold Ashanti PLC","AU","33872.2","1","3.97","1.81",".48","Basic Materials"
"Banco De Chile","BCH","18445.72","2","4.3","2.22",".28","Finance"
"Community Financial System, Inc.","CBU","2963.26","2","3.34","1.36",".79","Finance"
"CNA Financial","CNA","12499.38","2","3.98","7.58",".5","Finance"
"Canadian Natural Resources Limited","CNQ","67808.66","1","5.25","7.93",".96","Oils-Energy"
"Digital Realty Trust","DLR","54311.03","2","3.09","2.06",".96","Finance"
"First Hawaiian","FHB","3038.55","2","4.23","7.92",".91","Finance"
"Federated Hermes","FHI","3815.31","1","2.76","3.96",".83","Finance"
"First Horizon","FHN","10547.08","2","2.8","3.05",".7","Finance"
"F.N.B.","FNB","5676.46","2","3.03","3.08",".98","Finance"
"Fulton Financial","FULT","3187.48","2","4.08","5.26",".88","Finance"
"HSBC","HSBC","252447.47","2","2.71","26.09",".64","Finance"
"IDACORP","IDA","6981.02","2","2.73","9.93",".59","Utilities"
"Coca Cola Femsa","KOF","148537.25","2","4.07","3.72",".61","Consumer Staples"
"Lamb Weston","LW","8058.75","1","2.56","3.36",".51","Consumer Staples"
"NBT Bancorp","NBTB","2155.39","2","3.59","1.38",".55","Finance"
"The Bank of N.T. Butterfield & Son Limited","NTB","2182.53","1","4.36","5.04",".68","Finance"
"Omnicom Group","OMC","14099.38","2","3.83","1.97",".94","Business Services"
"PepsiCo","PEP","198291.69","2","3.92","1.43",".45","Consumer Staples"
"Portland General Electric","POR","5673.94","2","4.16","5.22",".67","Utilities"
"Park National","PRK","2502.74","2","2.75","1.22",".76","Finance"
"Radian Group","RDN","4777.34","1","2.89","3.33",".81","Finance"
"Reynolds Consumer Products","REYN","5201.45","2","3.72","6.36",".58","Consumer Discretionary"
"Telefonica","TEF","24098.19","2","5.88","40",".48","Utilities"
"United Bankshares","UBSI","5118.19","2","4.06","3.21",".83","Finance"
"USA Compression Partners","USAC","2884.33","1","8.93","8.33",".36","Oils-Energy"
"Zions Bancorporation","ZION","7516.4","2","3.54","7.4",".96","Finance"
