Company Name,Ticker,Zacks Rank,Last Close,Market Cap (mil),This Yr`s Est.d Growth (F(1)/F(0)),% Change Q1 Est. (4 weeks),Zacks Industry Rank,Avg Volume
"Akebia Therapeutics","AKBA","2","2.21","585.97","116.16","100","86","4493900"
"Amylyx Pharmaceuticals","AMLX","2","13.93","1242.1","64.47","13.33","86","1675194"
"Byrna Technologies","BYRN","2","20.25","460.19","27.42","8","86","682922"
"CooperStandard","CPS","2","30.22","532.88","137.77","104.35","90","228696"
"Erasca","ERAS","2","2.42","686.48","35.65","2.27","94","1792499"
"Horizon Bancorp IN","HBNC","2","15.6","795.16","42.55","8.76","42","454616"
"Horace Mann Educators","HMN","2","44.71","1819.51","35.38","1.67","64","210150"
"Integra Resources","ITRG","2","2.83","478.51","275.29","22.22","70","2259366"
"Lexeo Therapeutics, Inc.","LXEO","2","10.01","540.55","25.24","9.88","86","1617760"
"MBX Biosciences, Inc.","MBX","2","21.96","737.72","53.69","9.4","94","975576"
"MiMedx Group","MDXG","2","7.65","1132.98","25.86","12.5","94","972254"
"McEwen Inc.","MUX","2","18.33","991.77","111.63","95.24","70","1951689"
"Intellia Therapeutics","NTLA","2","12.62","1354.72","21.7","3.06","94","10499383"
"Oruka Therapeutics, Inc.","ORKA","2","28.17","1170.22","38.63","3.08","86","450335"
"Priority Technology","PRTH","2","6.96","556.23","107.84","7.14","86","453090"
"Tango Therapeutics","TNGX","2","8.11","902.32","12.61","2.2","94","4132663"
"Two Harbors Investments Corp","TWO","2","9.72","1012.4","118.18","7.69","90","1629173"
"Unusual Machines, Inc.","UMAC","2","14.97","495.53","60.87","71.43","86","4943162"
"WisdomTree, Inc.","WT","2","11.96","1759.4","21.83","9.43","82","3126124"
