Company Name,Ticker,Zacks Rank,Last Close,Market Cap (mil),This Yr`s Est.d Growth (F(1)/F(0)),% Change Q1 Est. (4 weeks),Zacks Industry Rank,Avg Volume
"Akebia Therapeutics","AKBA","2","2.09","554.15","116.16","100","97","4599019"
"Amylyx Pharmaceuticals","AMLX","2","13.74","1225.16","64.47","13.33","97","1579398"
"Byrna Technologies","BYRN","2","19.79","449.74","27.42","8","94","653521"
"Diversified Healthcare Trust","DHC","2","4.205","1018.23","312.5","175","82","683704"
"Horizon Bancorp IN","HBNC","2","15.62","796.17","42.55","8.76","54","440596"
"Horace Mann Educators","HMN","2","45.24","1841.07","35.38","1.67","68","217664"
"Integra Resources","ITRG","2","2.68","453.14","275.29","22.22","73","2260399"
"Lexeo Therapeutics, Inc.","LXEO","2","8.35","450.91","25.24","9.88","97","1387745"
"MBX Biosciences, Inc.","MBX","2","20.62","692.71","53.69","9.4","97","945461"
"Intellia Therapeutics","NTLA","2","12.2","1309.63","21.7","3.06","97","10802744"
"Oruka Therapeutics, Inc.","ORKA","2","27.43","1139.47","38.63","3.08","97","462700"
"PRA Group","PRAA","2","13.04","509.52","24.02","3.68","76","316673"
"Priority Technology","PRTH","2","6.63","529.86","107.84","7.14","94","457066"
"The Real Brokerage","REAX","2","3.72","787.9","67.86","16.67","94","1642703"
"Redwood Trust","RWT","2","5.25","678.42","51.92","17.65","100","1064780"
"Stoke Therapeutics","STOK","2","25.34","1388.57","120.52","4.63","97","1511571"
"Tango Therapeutics","TNGX","2","8.01","891.2","12.61","2.2","97","4211958"
"TriMas","TRS","2","33.69","1369.35","24.85","2.52","12","451223"
"Two Harbors Investments Corp","TWO","2","9.72","1012.4","118.18","7.69","100","1627960"
"WisdomTree, Inc.","WT","2","11.7","1721.15","25","11.89","76","3124591"
